type;detailed_type;amount;posting_currency
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.54;AUD
SALE;PURCHASE;36.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;0.72;SEK
SALE;PURCHASE;48.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;3.24;DKK
SALE;PURCHASE;216.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;2.94;DKK
SALE;PURCHASE;196.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.66;EUR
SALE;PURCHASE;44.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.17;DKK
SALE;PURCHASE;78.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.92;DKK
SALE;PURCHASE;128.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;0.75;DKK
SALE;PURCHASE;50.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;1.20;SEK
SALE;PURCHASE;80.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.50;DKK
SALE;PURCHASE;100.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.75;EUR
SALE;PURCHASE;50.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.62;GBP
SALE;PURCHASE;41.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.17;GBP
SALE;PURCHASE;11.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.17;USD
SALE;PURCHASE;11.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.44;AUD
SALE;PURCHASE;29.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.63;EUR
SALE;PURCHASE;42.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;6.35;DKK
SALE;PURCHASE;423.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.20;GBP
SALE;PURCHASE;13.00;GBP
RETURN;PURCHASE_RETURN;13.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.73;DKK
SALE;PURCHASE;115.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;4.19;DKK
SALE;PURCHASE;279.00;DKK
RETURN;PURCHASE_RETURN;279.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;1.86;SEK
SALE;PURCHASE;124.00;SEK
